Associated Gene Name	MIM Morbid Accession
CHRND	601462
CHRND	608930
PTPRQ	613391
CASC5	604321
RAX	611038
PCCB	606054
CRYAB	608810
CRYAB	613763
CRYAB	613869
PITX3	107250
PITX3	604219
PITX3	610623
MEFV	134610
MEFV	249100
SNRNP200	610359
STAR	201710
FOXRED1	252010
NDUFV1	252010
NDUFV1	256000
CDKN1B	610755
THBD	612926
THBD	614486
BRIP1	114480
BRIP1	227650
BRIP1	609054
BRAF	114500
BRAF	115150
BRAF	211980
BRAF	605027
BRAF	613706
BRAF	613707
CD81	613496
FOXN1	601705
SGCE	159900
HSPB3	613376
CHRNG	253290
CHRNG	265000
SEMA3A	614897
STRADA	611087
NOS3	163729
DNAAF1	613193
MRAP	607398
LDHA	612933
HSD17B3	264300
LIPC	125853
LIPC	612797
LIPC	614025
PCDH15	276900
PCDH15	601067
PCDH15	602083
PCDH15	609533
IL1RAPL1	300143
RTN2	604805
PLOD2	609220
ACE	106180
ACE	267430
ACE	601367
ACE	612624
ACE	614519
NYX	310500
NAGS	237310
KRT9	144200
KRT9	149100
BSG	111380
UOX	191540
GPR143	300500
GPR143	300814
JUP	601214
JUP	611528
LMAN1	227300
GNS	252940
ZNF513	613617
IL7R	608971
IL7R	612595
GALNS	253000
GDNF	209880
GDNF	613711
SLC35C1	266265
KRT14	125595
KRT14	131760
KRT14	131800
KRT14	131900
KRT14	161000
KRT14	601001
NIPAL4	612281
TLR3	613002
PEX10	614870
PEX10	614871
FHL1	300695
FHL1	300696
FHL1	300717
FHL1	300718
SUCLG1	245400
GHR	143890
GHR	262500
GHR	604271
OCLN	251290
NOG	184460
NOG	185800
NOG	186500
NOG	186570
NOG	611377
RS1	312700
KRT16	144200
KRT16	167200
KRT16	613000
CD8A	608957
HPSE2	236730
PIGM	610293
KCNJ10	612780
STAT3	147060
FXYD6	181500
FXYD6	603342
PRSS1	167800
SLC17A8	605583
RDH5	136880
INVS	602088
NEXN	613122
NEXN	613876
SLC52A2	614707
GCM2	146200
NCR3	609148
IFT140	266920
PRKAR1A	101800
PRKAR1A	160980
PRKAR1A	255960
PRKAR1A	610489
PHYH	266500
GIGYF2	607688
WNT10B	225300
TFAP2B	169100
PMS2	276300
PMS2	614337
TIMP3	136900
ATP1A2	104290
ATP1A2	602481
PSENEN	613736
CCBE1	235510
RAPSN	208150
RAPSN	608931
ROBO2	610878
PCBD1	264070
HOXB1	614744
TNNI3	115210
TNNI3	611880
TNNI3	613286
TNNI3	613690
ADAM33	600807
OPCML	167000
BRCA2	114480
BRCA2	227650
BRCA2	605724
BRCA2	612555
BRCA2	613029
BRCA2	613347
MYF6	614408
ATP13A2	606693
ABCB1	120080
ABCB1	612244
ATOH7	221900
DGKE	615008
RGS9	608415
KRT17	167210
KRT17	184500
ARID5B	613065
CHRNE	254200
CHRNE	601462
CHRNE	608930
CHRNE	608931
KCNJ8	272120
TBX22	303400
UPB1	613161
MT-ND1	502500
MT-ND1	535000
MT-ND1	540000
MT-ND2	502500
MT-ND2	535000
GRHL2	608641
ABCC9	239850
ABCC9	608569
ABCC9	614050
MT-CO1	114500
MT-CO1	220110
MT-CO1	500008
MT-CO1	535000
MT-CO1	550500
LARGE	608840
LARGE	613154
MT-CO2	220110
LTBP4	613177
MT-ATP6	256000
MT-ATP6	500003
MT-ATP6	535000
MT-ATP6	551500
MT-CO3	220110
MT-CO3	535000
MT-CO3	550500
MT-ND3	252010
MT-ND3	256000
MT-ND4L	535000
MT-ND4	500001
MT-ND4	535000
MT-ND4	540000
MT-ND5	252010
MT-ND5	256000
MT-ND5	535000
MT-ND5	540000
MT-ND6	252010
MT-ND6	500001
MT-ND6	535000
MT-ND6	540000
MC4R	601665
MT-CYB	500000
MT-CYB	535000
SMARCAD1	136000
SURF1	256000
DNAAF3	606763
TGFBI	121820
TGFBI	121900
TGFBI	122200
TGFBI	602082
TGFBI	607541
TGFBI	608470
TGFBI	608471
GP1BA	153670
GP1BA	177820
GP1BA	231200
GP1BA	258660
TSPEAR	614861
NBAS	614800
EYA4	601316
EYA4	605362
MYL2	608758
GBA	168600
GBA	230800
GBA	230900
GBA	231000
GBA	231005
GBA	608013
BTNL2	612387
SDHB	115310
SDHB	171300
SDHB	606864
SDHB	612359
C2orf71	613428
KCNJ13	193230
KCNJ13	614186
SFTPC	267450
SFTPC	610913
MPV17	256810
MEF2A	608320
AGK	212350
AGK	614691
TRIOBP	609823
BRWD3	300659
MCCC1	210200
CASK	300422
CASK	300749
CISD2	604928
HLA-DRA	610424
F13A1	613225
TRIM27	188550
HLA-DRB1	181000
HLA-DRB1	609532
EGF	611718
MAPK8IP1	125853
LAMB2	609049
LAMB2	614199
LEP	614962
CST3	105150
CST3	611953
FKBP10	610968
RBM28	612079
FOXC1	601631
FOXC1	602482
FOXC1	604229
DYNC2H1	263510
DYNC2H1	613091
GDF5	112600
GDF5	113100
GDF5	185800
GDF5	200700
GDF5	201250
GDF5	228900
GDF5	610017
GDF5	612400
GDF5	615072
SYP	300802
TAC3	614839
BHLHE41	612975
DNAI2	612444
PADI4	180300
NIPBL	122470
NR0B1	300018
NR0B1	300200
RANBP2	608033
C19orf12	614298
PIGN	614080
PLEC	131950
PLEC	226670
PLEC	612138
PLEC	613723
IFT122	218330
CACNA1F	300071
CACNA1F	300476
CACNA1F	300600
DLAT	245348
CD19	613493
PDGFB	607907
SLC37A4	232220
SLC37A4	232240
SETBP1	269150
BSCL2	269700
BSCL2	270685
BSCL2	600794
MSX2	168500
MSX2	168550
MSX2	604757
TOR1A	128100
ANO6	262890
PEX19	614886
FAM83H	130900
DFNA5	600994
POLG2	610131
MUSK	608931
CCDC6	188550
ICAM1	611162
CIRH1A	604901
G6PC3	612541
SLC12A3	263800
MYC	113970
THRA	614450
AXIN2	114500
AXIN2	608615
EDAR	129490
EDAR	224900
EDAR	612630
TTC37	222470
BBS7	209900
CYMP	118943
SCRIB	182940
ATG16L1	611081
NR3C1	138040
TYR	103470
TYR	203100
TYR	601800
TYR	606952
ARSA	250100
ARSA	272200
TGIF1	142946
ASXL1	605039
ASXL1	614286
FBP1	229700
SOS1	135300
SOS1	610733
DUX4	158900
GGT1	231950
OPLAH	260005
TP63	103285
TP63	106260
TP63	129400
TP63	603543
TP63	604292
TP63	605289
FUT2	182100
FUT2	612542
MSR1	176807
MSR1	614266
NLRP1	193200
NLRP1	606579
SLC29A3	602782
PAX7	268220
SH2B3	222100
SH2B3	612011
EIF2AK3	226980
PLA2G7	147050
PLA2G7	600807
PLA2G7	614278
MID1	300000
GALNT12	608812
PTRF	613327
PLN	609909
PLN	613874
RSPH9	612650
ALDH4A1	239510
ITGB3	173470
ITGB3	273800
SLC6A3	613135
KRIT1	116860
NCSTN	142690
C2	217000
C2	603075
XPA	278700
HCCS	309801
KLHL10	615081
GOT1	614419
C4B	152700
C4B	614374
C4B	614379
ALK	613014
MCPH1	251200
IL10RA	613148
RPIA	608611
JAM3	613730
FTO	612938
CLDN14	614035
FOXE1	241850
XRCC3	114480
XRCC3	613972
SAG	258100
SAG	613758
DIAPH1	124900
GPI	613470
CDH23	276900
CDH23	601067
CDH23	601386
FGA	105200
FGA	134820
FGA	202400
IGKC	614102
TIRAP	607948
TIRAP	610799
TIRAP	611162
TIRAP	614382
GCH1	128230
GCH1	233910
VANGL2	182940
ZNF365	605990
SAMHD1	612952
SAMHD1	614415
KISS1R	176400
KISS1R	614837
TEAD1	108985
ABCC6	177850
ABCC6	264800
ABCC6	614473
CMAHP	603209
ARHGAP31	100300
NPHP1	256100
NPHP1	266900
NPHP1	609583
NKX3-2	613330
GH1	173100
GH1	262400
GH1	262650
GH1	612781
GCLC	230450
HLCS	253270
SLC14A1	111000
XDH	278300
AGRN	254300
NOBOX	611548
AKR1C2	614279
CEACAM16	614614
POR	201750
POR	613571
LEMD3	155950
LEMD3	166700
PEX16	614876
PEX16	614877
ADRB2	109690
ICAM4	111250
STRC	603720
STRC	611102
ARL6	209900
ARL6	613575
PHKA2	306000
TPK1	614458
KEL	110900
CD79B	612692
GK	307030
CNNM4	217080
G6PC	232200
ATP7B	277900
EIF2B4	603896
KLHDC8B	236000
SH3TC2	601596
SH3TC2	613353
PKHD1	263200
PKLR	102900
PKLR	266200
C9	613825
CHRNB1	601462
CHRNB1	608931
SPTLC2	613640
ADAMTS13	274150
CISH	607948
CISH	611162
CISH	614383
UNC93B1	610551
PIK3CA	114480
PIK3CA	114500
PIK3CA	114550
PIK3CA	167000
PIK3CA	182000
PIK3CA	602501
PIK3CA	603387
PIK3CA	612918
RAD51	114480
RAD51	614508
MTTP	200100
GFM1	609060
MYO1A	607841
AKR1C4	614279
SMN2	253300
SMN2	253400
SMN2	253550
SMN2	271150
SCN4A	168300
SCN4A	170500
SCN4A	608390
SCN4A	613345
SCN4A	614198
UBE2A	300860
AMH	261550
VSX1	122000
VSX1	148300
VSX1	614195
KL	211900
KL	604824
CYB5A	250790
RYR1	117000
RYR1	145600
RYR1	255310
RYR1	255320
SRY	400044
SRY	400045
ATXN2	183090
MSRB3	613718
SLC6A20	138500
SLC6A20	242600
ITGB2	116920
TACO1	256000
AMELX	301200
CYP4V2	210370
ARMS2	613778
STOX1	609404
FGG	202400
SEMA4C	604462
CHRM2	103780
CHRM2	608516
IMPDH1	180105
IMPDH1	613837
PON1	168820
PON1	612633
FANCA	227650
KMT2D	147920
FOXP3	304790
CYP2R1	600081
NHLRC1	254780
USB1	604173
HADH	231530
HADH	609975
IFITM5	610967
INSL3	219050
DNMT3B	242860
MCF2L2	125853
SLX4	613951
EGR2	145900
EGR2	605253
EGR2	607678
FKTN	253800
FKTN	611588
FKTN	611615
FKTN	613152
GGCX	277450
GGCX	610842
MMAB	251110
CEP41	614464
UGT1A4	143500
UGT1A4	218800
UGT1A4	606785
MYOZ2	613838
MYD88	612260
FUT1	211100
MASTL	188000
RRM2B	612075
RRM2B	613077
USF1	144250
USF1	602491
LARP7	615071
CD59	612300
LIFR	601559
UGT1A1	143500
UGT1A1	218800
UGT1A1	237900
UGT1A1	601816
UGT1A1	606785
FANCC	227645
PNPLA2	610717
ADAMTSL2	231050
CATSPER2	611102
HTRA1	600142
HTRA1	610149
TPMT	610460
NDUFS8	256000
FGF9	612961
TSPAN12	613310
SPAST	182601
EPG5	242840
OPA3	165300
OPA3	258501
ALG11	613661
RIMS1	603649
CNTNAP2	610042
CNTNAP2	612100
CEP57	614114
FSHB	229070
MYH16	608580
WDR36	609887
ALDH3A2	270200
SGCG	253700
DNASE1	152700
CFB	603075
CFB	612924
PVRL4	613573
CYP1B1	137750
CYP1B1	137760
CYP1B1	231300
CYP1B1	604229
TGFBR1	132800
TGFBR1	608967
TGFBR1	609192
ING3	275355
ERCC6	133540
ERCC6	214150
ERCC6	278800
ERCC6	600630
ERCC6	613761
MERTK	613862
ENPP1	125853
ENPP1	208000
ENPP1	602475
ENPP1	613312
KLKB1	612423
IRX5	611174
C5orf42	614615
RRAS2	167000
ALAD	612740
FGF3	610706
SACS	270550
VEGFA	603933
IFITM3	614680
ETHE1	602473
LEPREL1	614292
TDRD7	613887
CEL	606391
CEL	609812
TAP2	604571
BCAM	111200
BCAM	247420
HMOX1	614034
BANF1	614008
CTNS	219750
CTNS	219800
CTNS	219900
MMP3	614466
TUBB2B	610031
GCKR	613463
DNAH11	244400
DNAH11	611884
BCL10	156240
HMGA2	150699
HMGA2	611547
GBE1	232500
GBE1	263570
ADAMTS17	613195
POU3F4	304400
PFN1	614808
POU6F2	601583
GK2	600148
CLDN1	607626
TNFRSF11A	174810
TNFRSF11A	602080
TNFRSF11A	612301
TMEM126A	612989
CLRN1	276902
CLRN1	614180
EIF2B1	603896
ERC1	188550
ANTXR2	228600
CES1	114835
SPTBN2	600224
ZAP70	269840
JAK3	600802
FAM20A	614253
PPP1R3A	125853
TNFRSF13B	240500
TNFRSF13B	609529
CC2D2A	216360
CC2D2A	612284
CC2D2A	612285
KCNJ2	170390
KCNJ2	609622
KCNJ2	613980
HARS	614504
SOX9	114290
SOX9	278850
PTCH1	109400
PTCH1	605462
PTCH1	610828
ZBTB38	612221
WNT5A	180700
PPOX	176200
HNF1B	125853
HNF1B	137920
HNF1B	611955
NR5A1	184757
NR5A1	612964
NR5A1	612965
NR5A1	613957
TUBB1	613112
RNF168	611943
FGFR1	101600
FGFR1	147950
FGFR1	166250
FGFR1	190440
TAB2	614980
ATP5E	614053
CLDN16	248250
ALG2	607906
TBC1D24	605021
KCNE3	613119
NPHP4	606966
NPHP4	606996
ENO3	612932
MYCN	164280
CBX2	613080
KRT12	122100
SOX10	609136
SOX10	611584
SOX10	613266
HLA-C	177900
SCN4B	611819
MVK	260920
MVK	610377
DBH	223360
KCNQ1	192500
KCNQ1	220400
KCNQ1	607554
KCNQ1	609621
POMC	601665
POMC	609734
DNM2	160150
DNM2	606482
TCIRG1	259700
MTMR2	601382
MMP2	259600
KLK4	204700
BCL2	151430
PSMB8	256040
NKX2-6	217095
HK1	235700
OSMR	105250
NDUFS2	252010
CATSPER1	612997
FOXP2	602081
BLOC1S3	614077
SYNGAP1	612621
PLEKHM1	611497
VPS37A	614898
COG8	611182
PLA2G5	228980
TDH	615174
NEK8	613824
MS4A1	613495
CHAT	254210
KCNJ11	601820
KCNJ11	606176
KCNJ11	610582
TSHZ1	607842
SLC6A5	614618
ACTG1	604717
ACTG1	614583
IRF4	254500
EDN3	209880
EDN3	613265
EDN3	613712
SQSTM1	602080
GATAD1	614672
SFTPB	265120
SFTPB	267450
SMN1	253300
SMN1	253400
SMN1	253550
SMN1	271150
CNTN1	612540
GPR179	614565
PRPH2	136880
PRPH2	169150
PRPH2	268000
PRPH2	608133
PRPH2	608161
PRPH2	613105
PITX2	137600
PITX2	180500
PITX2	180550
PITX2	604229
EPOR	133100
ACSF3	614265
NAGLU	252920
ABCC8	240800
ABCC8	256450
ABCC8	602485
ABCC8	606176
ABCC8	610374
PLA2G6	256600
PLA2G6	610217
PLA2G6	612953
PINK1	168600
PINK1	605909
TMPO	613740
RAG1	233650
RAG1	601457
RAG1	603554
RAG1	609889
COG1	611209
POMT1	236670
POMT1	609308
POMT1	613155
MYO1E	614131
COL6A3	158810
COL6A3	254090
PTPRC	126200
PTPRC	608971
APOA5	144650
APOA5	145750
DDOST	614507
BMP1	614856
COX15	256000
COX15	615119
DHODH	263750
IFNGR2	209950
KIRREL3	612581
SMOC1	206920
ADSL	103050
ZNF204P	603282
WBSCR22	194050
SUMO4	600320
IL36RN	614204
CNGA3	216900
LTBP3	613097
TSEN34	612390
SCARF2	600920
CHRNA4	600513
PEX1	214100
PEX1	601539
APOC3	614028
LPA	152200
ST3GAL5	609056
DMBT1	137800
TMEM127	171300
ABHD12	612674
GRXCR1	613285
DHH	233420
DHH	607080
NDUFA13	607464
IL1RN	612628
IL1RN	612852
RAB18	614222
HEPACAM	613925
HEPACAM	613926
ZNF711	300803
SARDH	268900
CD151	179620
CD151	609057
HYAL1	601492
ANK2	600919
PLG	217090
KCNQ2	121200
KCNQ2	613720
RAG2	233650
RAG2	601457
RAG2	603554
GABRD	613060
F11	612416
SERPINB6	613453
SLC9A3R1	612287
SECISBP2	609698
HMBS	176000
WISP3	208230
PAX8	218700
POF1B	300604
TRPV4	113500
TRPV4	156530
TRPV4	168400
TRPV4	181405
TRPV4	184095
TRPV4	184252
TRPV4	600175
TRPV4	606071
TRPV4	606835
TRPV4	613508
TAP1	604571
COA5	220110
MPZ	103100
MPZ	118200
MPZ	145900
MPZ	180800
MPZ	605253
MPZ	607677
MPZ	607736
MPZ	607791
APOA1	105200
APOA1	205400
APOA1	604091
CRYBB3	609741
CRYBB2	601547
CRYBB2	604219
CRYBB2	604307
CRYBB2	607133
LRAT	613341
KHK	229800
SDHC	605373
SDHC	606864
NR4A3	612219
EZH2	614421
MRPS16	610498
USP9Y	415000
MLPH	609227
RAB23	201000
L1CAM	303350
L1CAM	304100
L1CAM	307000
UROS	263700
IL12B	209950
IL12B	612599
CTSD	610127
PANK2	234200
PANK2	607236
TYK2	611521
MXI1	176807
TCTN2	613885
ELANE	162800
ELANE	202700
UPF3B	300676
CLCN5	300009
CLCN5	300554
CLCN5	308990
CLCN5	310468
PSAP	249900
PSAP	610539
PSAP	611721
PSAP	611722
BAAT	607748
PDGFRL	114500
FCGR2B	152700
FCGR2B	611162
KIF11	152950
CYP21A2	201910
AP5Z1	613647
CFD	613912
ACAD8	611283
VCAN	143200
CA2	259730
ECE1	613870
TRAPPC2	313400
MTUS1	114550
AKR1D1	235555
PLAU	601709
CD40LG	308230
GABRA2	103780
CDKN1C	130650
CDKN1C	614732
SKIV2L	614602
ABCC2	237500
CRLF1	272430
ESPN	609006
CDC6	613805
CHMP2B	600795
CHMP2B	614696
NPHS1	256300
HP	614081
SLC2A2	227810
IRAK3	611064
NODAL	270100
DYRK1A	614104
TFG	188550
TFG	604484
ABCA1	205400
ABCA1	600046
ABCA1	604091
MEGF8	614976
FYCO1	610019
IL17F	613956
AIPL1	604393
MAN2B1	248500
CCDC50	607453
FAN1	614817
AGTR1	267430
P2RY12	609821
SLC5A5	274400
TFAP2A	113620
TINF2	268130
TINF2	613990
POU1F1	613038
COL18A1	267750
MAOA	300615
MAOA	309850
ANG	611895
BMPR1B	112600
BMPR1B	609441
TRIM24	188550
RARA	612376
GTPBP3	580000
COL17A1	226650
DPP10	600807
ALPL	146300
ALPL	241500
ALPL	241510
PRSS12	249500
FBXW4	246560
ATP6V0A2	219200
ATP6V0A2	278250
NOS1AP	610141
SLC46A1	229050
SHROOM4	300434
MAFB	166300
CDK4	609048
CHM	303100
CD3E	186830
PAFAH1B1	247200
PAFAH1B1	607432
ARHGEF6	300436
PRF1	603553
BMP15	300510
RNASEH2C	610329
ZNF644	614167
STK11	175200
STK11	273300
VPS35	614203
SLC25A3	610773
ALDOB	229600
NDUFA1	252010
C7	610102
PRNP	123400
PRNP	137440
PRNP	245300
PRNP	600072
PRNP	603218
PRNP	606688
FLI1	612219
KLHL3	614495
APOE	104310
APOE	107741
APOE	143890
APOE	269600
APOE	611771
CETP	143470
ERCC2	278730
ERCC2	601675
ERCC2	610756
EPX	261500
AASS	238700
TPM2	108120
TPM2	609285
DDR2	271665
HBA2	140700
HBA2	141800
HBA2	604131
HBA2	613978
FKBP14	614557
CD3D	608971
SNTA1	612955
SLC22A18	114480
SLC22A18	211980
SLC22A18	268210
IFNAR2	610424
PDHA1	308930
PDHA1	312170
REEP1	610250
REEP1	614751
PLEKHG5	611067
CX3CR1	609423
CX3CR1	613784
MKS1	209900
MKS1	249000
APOL1	612551
MEN1	131100
MEN1	145000
SLC4A1	109270
SLC4A1	110500
SLC4A1	112010
SLC4A1	112050
SLC4A1	130600
SLC4A1	179800
SLC4A1	601550
SLC4A1	601551
SLC4A1	611162
SLC4A1	611590
SLC4A1	612653
CD3G	186740
LOXHD1	613079
OFD1	300209
OFD1	300804
OFD1	311200
NDUFS7	252010
NDUFS7	256000
TREX1	152700
TREX1	192315
TREX1	225750
TREX1	610448
CYCS	612004
CDH15	612580
ANO5	166260
ANO5	611307
ANO5	613319
SLC26A5	613865
RGS4	181500
RGS4	604906
MPLKIP	234050
MBNL1	160900
NPAS2	608516
APOF	107760
PRDM5	614170
GFER	613076
XPNPEP3	613159
TGM1	242300
CYP27B1	264700
MUC7	600807
ASPN	603932
ASPN	607850
PER2	604348
SLC6A2	604715
AURKC	243060
USH1G	276900
USH1G	606943
APOC4-APOC2	207750
NNT	614736
SLC25A38	205950
ALDH1A3	615113
IL10RB	610424
IL10RB	612567
DPAGT1	608093
DPAGT1	614750
EPHA3	114500
C7orf10	231690
TRPM1	613216
DIAPH3	609129
ANKRD11	148050
OPN1SW	190900
GRIN2B	613970
HSPB8	158590
HSPB8	608673
NSUN2	611091
KCNJ1	241200
GYG1	613507
CCDC8	614205
ARG1	207800
GNMT	606664
EP300	613684
PUS1	600462
HSPG2	224410
HSPG2	255800
MYBPC1	614335
MYBPC1	614915
TNNI2	601680
ATP6V0A4	602722
TACR3	614840
ERG	612219
HBA1	140700
HBA1	141800
HBA1	604131
HBA1	613978
TWIST2	227260
CHST3	143095
ATXN7	164500
HDAC4	600430
CYP26C1	614974
ALDH2	100650
ALDH2	610251
FGF8	612702
PCM1	188550
APOC2	207750
PC	266150
GJA1	164200
GJA1	186100
GJA1	234100
GJA1	241550
GJA1	257850
GJA1	600309
ADAM17	614328
FGD4	609311
SPG20	275900
FLCN	135150
FLCN	144700
FLCN	173600
PAX6	106210
PAX6	120200
PAX6	120430
PAX6	136520
PAX6	148190
PAX6	165550
PAX6	206700
PAX6	604229
GPR56	606854
TBX21	208550
PCSK1	600955
PCSK1	612362
TMCO1	614132
CPOX	121300
GRIP1	219000
WNT4	158330
WNT4	277000
WNT4	611812
GLMN	138000
KCNJ5	613485
KCNJ5	613677
CREBBP	180849
PSMC3IP	614324
PROS1	612336
PROS1	614514
SLC25A13	603471
SLC25A13	605814
CAMTA1	614756
MYH9	153640
MYH9	153650
MYH9	155100
MYH9	600208
MYH9	603622
MYH9	605249
HPS4	614073
PTH	146200
C1QA	613652
C1QC	613652
GCNT2	110800
BRCA1	114480
BRCA1	167000
BRCA1	604370
BRCA1	614320
CD2AP	607832
C1QB	613652
AHI1	608629
STIM1	612783
EPHB2	176807
EPHB2	603688
GLI2	610829
GFI1	607847
GFI1	613107
MC1R	266300
MC1R	613098
MC1R	613099
AICDA	605258
FGF10	149730
FGF10	180920
SPG7	607259
LIPH	604379
LRP5	144750
LRP5	166710
LRP5	259770
LRP5	601813
LRP5	601884
LRP5	607634
LRP5	607636
PEX6	614862
PEX6	614863
EYS	602772
RHO	610445
RHO	613731
RFXAP	209920
NOS2	611162
PARK7	168600
PARK7	606324
SMAD9	178600
ORC6	613803
ZIC2	609637
ASCC1	614266
MYOT	159000
MYOT	182920
MYOT	609200
RPL5	612561
CITED2	614431
CITED2	614433
ITPKC	611775
MCCC2	210210
IL12RB1	209950
TUBB3	600638
TUBB3	614039
TECR	614020
PARK2	168600
PARK2	600116
IFT80	611263
KMT2A	159555
KMT2A	605130
GAMT	612736
IRGM	612278
CAV3	123320
CAV3	192600
CAV3	272120
CAV3	606072
CAV3	607801
CAV3	611818
CAV3	614321
CALM3	614916
PCCA	606054
LIPI	145750
KCNQ3	121201
SART3	175900
ASAH1	159950
ASAH1	228000
CDK6	612223
FANCF	603467
SLC5A1	606824
CPN1	212070
ABCG5	210250
ACKR6	600977
CD247	610163
WDR35	613610
WDR35	614091
SAMD9	610455
TSFM	610505
DIAPH2	300511
SIX5	610896
DSC3	613102
CAPN10	601283
FLNC	609524
FLNC	614065
ABCG8	210250
ABCG8	611465
VCL	611407
VCL	613255
DNAH5	244400
DNAH5	608644
PRICKLE2	613832
MED23	614249
DMPK	160900
DSC2	610476
SMC3	610759
CD36	248310
CD36	608404
CD36	610938
CD36	611162
LCA5	604537
MPO	254600
ZIC3	306955
ZIC3	314390
ENAM	104500
ENAM	204650
COL6A1	158810
COL6A1	254090
CHMP4B	605387
EFHC1	254770
EFHC1	607631
PROKR2	244200
CCR2	609423
TRPC6	603965
ADCY10	143870
PRKCSH	174050
RPL11	612562
FANCB	227650
FANCB	300514
ADAM9	612775
CA4	600852
RASA1	608354
RASA1	608355
SHFM1	183600
GYPC	110750
GYPC	611162
KIF1A	610357
KIF1A	614213
KIF1A	614255
MIP	604219
AKAP9	611820
AVPR2	300539
AVPR2	304800
PROM1	603786
PROM1	608051
PROM1	612095
PROM1	612657
ARL13B	612291
TSHR	275200
TSHR	603372
TSHR	603373
TSHR	609152
MITF	103470
MITF	103500
MITF	193510
MITF	614456
OPA1	125250
OPA1	165500
LRRC6	614935
CORIN	614595
H6PD	604931
RELN	257320
CCR5	609423
CCR5	610379
CCR5	612522
INF2	613237
INF2	614455
LRPPRC	220111
KCNA1	160120
TRAPPC2P1	313400
C6	612446
ERCC1	610758
AGXT	259900
MSMB	611928
MAPT	172700
MAPT	260540
MAPT	600274
MAPT	601104
GALE	230350
ABCA4	153800
ABCA4	248200
ABCA4	601718
ABCA4	604116
ACO2	614559
GPR126	606255
CTDP1	604168
BLK	613375
C4A	120790
C4A	152700
C4A	614374
C4A	614380
USH1C	276900
USH1C	276904
USH1C	602092
FTL	600886
FTL	606159
CENPJ	608393
CENPJ	613676
KCNA5	612240
DCLRE1C	602450
DCLRE1C	603554
BANK1	152700
OTX2	610125
OTX2	613986
HMGCL	246450
NIPA1	600363
BIN1	255200
FUCA1	230000
PACRG	607572
DSG1	148700
ALDOA	611881
SLC3A1	220100
SLC3A1	606407
ASIP	611742
TBX19	201400
CACNG2	614256
NCOA4	188550
PCDH19	300088
AHCY	613752
F9	300807
F9	306900
SERPIND1	612356
MAN1B1	614202
IER3IP1	614231
GATA4	187500
GATA4	607941
